Make,Model,Variant,Ex-Showroom_Price(Rs.),Displacement(cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_Tank_Capacity(litres),Height(mm),Length(mm),Width(mm),Doors,City_Mileage(km/litre),Gears,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Seating_Capacity,Wheelbase(mm),Boot_Space(litres)
Tata,Zest,Xe Petrol,582287,1193,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,13.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xe Diesel,702946,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,19.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xm Petrol,653926,1193,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,13.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xms Petrol,672641,1193,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,13.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xt Petrol,732475,1193,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,13.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xm Diesel,767317,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,19.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xms Diesel,793898,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,5,19.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xt Diesel,855362,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,19.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xma Diesel,836320,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,19.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Xta Diesel,989000,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,4,19.2,5,185/60R15,185/60R15,5,2470,390
Tata,Zest,Zest Premio Edition,788797,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1570,3995,1706,5,19.2,5,185/60R15,185/60R15,5,2470,390
